"""Australian Grand Prix""","""Australian Grand Prix""","""Australia"""
"""Bahrain Grand Prix""","""Bahrain Grand Prix""","""Bahrain"""
"""Chinese Grand Prix""","""Chinese Grand Prix""","""China"""
"""Azerbaijan Grand Prix""","""Azerbaijan Grand Prix""","""Azerbaijan"""
"""Spanish Grand Prix""","""Spanish Grand Prix""","""Spanish"""
"""Monaco Grand Prix""","""Monaco Grand Prix""","""Monaco"""
"""Canadian Grand Prix""","""Canadian Grand Prix""","""Canada"""
"""French Grand Prix""","""French Grand Prix""","""France"""
"""Austrian Grand Prix""","""Austrian Grand Prix""","""Austria"""
"""British Grand Prix""","""British Grand Prix""","""United Kingdom"""
"""German Grand Prix""","""German Grand Prix""","""Germany"""
"""Hungarian Grand Prix""","""Hungarian Grand Prix""","""Hungary"""
"""Belgian Grand Prix""","""Belgian Grand Prix""","""Belgium"""
"""Italian Grand Prix""","""Italian Grand Prix""","""Italy"""
"""Singapore Grand Prix""","""Singapore Grand Prix""","""Singapore"""
"""Russian Grand Prix""","""Russian Grand Prix""","""Russia"""
"""Japanese Grand Prix""","""Japanese Grand Prix""","""Japan"""
"""United States Grand Prix""","""United States Grand Prix""","""United States of America"""
"""Mexican Grand Prix""","""Mexican Grand Prix""","""Mexico"""
"""Brazilian Grand Prix""","""Brazilian Grand Prix""","""Brazil"""
"""Abu Dhabi Grand Prix""","""Abu Dhabi Grand Prix""","""United Arab Emirates"""
